Salary,SalaryBin,Age,Gender,Designation,Tenure,JobCity,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
530000.0,500k - 1M,26,male,systems engineer,4,hyderabad,84.0,state,2007,92.0,state,2,B.Tech/B.E.,CS,77.2,0,Andhra Pradesh,2011,475,405,695,0.6707431514,455.0,,,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
340000.0,250k - 500k,23,male,software engineer,1,bangalore,77.2,state,2010,86.1,state,2,B.Tech/B.E.,CS,71.0,0,Tamil Nadu,2014,560,485,450,0.6226429158,485.0,,407.0,-0.0154,1.2114,1.0859,-1.5021,0.2889
360000.0,250k - 500k,24,female,software engineer,2,noida,87.0,cbse,2009,84.4,cbse,1,B.Tech/B.E.,CS,79.3,1,Delhi,2013,570,475,295,0.4138382558,385.0,,,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
145000.0,< 250k,23,male,software engineer,1,kolkata,73.0,state,2010,68.4,state,2,B.Tech/B.E.,CS,74.3,1,West Bengal,2014,560,530,605,0.9113952784,445.0,,500.0,-0.7335,0.5454,-0.7585,-0.6147,1.4386
215000.0,< 250k,26,female,other,0,bangalore,71.0,cbse,2009,68.0,icse,2,B.Tech/B.E.,CS,70.86,0,Uttar Pradesh,2013,430,510,405,0.3565364877,465.0,,346.0,1.5644,1.0449,0.3174,-1.8824,1.0554
350000.0,250k - 500k,25,female,sales,1,mumbai,85.0,cbse,2008,61.0,cbse,2,B.Tech/B.E.,EC,64.98,0,Punjab,2011,570,475,430,0.6493897148,,,,-0.4854,-0.5213,2.1129,-0.735,1.8224
270000.0,250k - 500k,23,female,software engineer,2,hyderabad,91.5,state,2009,93.8,state,1,B.Tech/B.E.,CS,74.1,1,Telangana,2013,380,535,530,0.5259225843,415.0,,,-1.0208,0.2124,0.4711,0.2727,-0.0943
80000.0,< 250k,22,male,sales,5,gurgaon,77.0,cbse,2010,85.4,cbse,2,B.Tech/B.E.,EC,63.9,0,Punjab,2014,475,605,415,0.6493897148,435.0,356.0,,0.2718,0.5454,0.3174,-1.8824,-0.4776
330000.0,250k - 500k,24,male,software engineer,1,bangalore,52.33,state,2007,67.0,state,2,MCA,CS,77.15,0,Uttar Pradesh,2013,450,525,545,0.7357957092,475.0,,,-0.0154,1.2114,0.6248,0.7798,0.8637
200000.0,< 250k,24,male,data scientist,0,bangalore,88.0,state,2008,89.66,state,2,B.Tech/B.E.,EC,76.4,0,Kerala,2012,510,640,635,0.124502074,,233.0,,0.3941,1.2808,0.2366,-2.1998,-0.4455
120000.0,< 250k,26,male,engineer(other),1,other,66.6,cbse,2007,68.6,state,2,B.Tech/B.E.,ME,60.22,0,Uttar Pradesh,2011,425,595,475,0.1304417357,,,,-0.4173,0.3448,0.0914,-0.4078,0.6603
145000.0,< 250k,23,male,software engineer,0,new delhi,75.0,cbse,2009,60.0,cbse,2,B.Tech/B.E.,CS,66.0,0,Uttar Pradesh,2014,380,545,460,0.3565364877,395.0,,346.0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
350000.0,250k - 500k,24,male,software engineer,1,bangalore,91.4,icse,2010,73.0,cbse,1,B.Tech/B.E.,CS,71.0,0,Uttar Pradesh,2014,555,560,825,0.2378028398,525.0,,315.0,-0.0154,0.2578,-0.5349,-1.1218,-1.359
120000.0,< 250k,22,male,software engineer,1,hyderabad,59.0,state,2010,87.7,state,2,B.Tech/B.E.,EC,71.04,1,Telangana,2014,300,340,355,0.1121394382,155.0,228.0,,-0.0154,-2.4516,-0.4511,0.2727,-3.1602
380000.0,250k - 500k,26,female,software engineer,3,bangalore,84.5,state,2007,82.5,state,2,B.Tech/B.E.,CS,92.1,0,Karnataka,2011,425,525,515,0.3775514194,375.0,,,0.51,0.6568,-0.6343,0.2973,0.1864
110000.0,< 250k,23,male,software engineer,1,chennai,95.8,state,2010,87.16,state,2,B.Tech/B.E.,ME,79.0,0,Tamil Nadu,2014,430,395,500,0.0669607065,,,,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
205000.0,< 250k,24,female,software engineer,2,noida,85.6,cbse,2008,82.0,cbse,2,B.Tech/B.E.,CS,74.01,0,Haryana,2012,370,495,455,0.08005528134,445.0,,253.0,0.1282,0.5454,0.1637,-0.4879,0.8637
95000.0,< 250k,23,male,software engineer,1,new delhi,69.6,state,2008,71.4,state,2,B.Tech/B.E.,CS,77.0,0,Orissa,2012,485,415,575,0.9256457671,,,,-0.4173,0.6568,-0.7794,1.7074,0.1864
390000.0,250k - 500k,24,male,software engineer,2,bangalore,86.6,cbse,2009,75.0,cbse,2,B.Tech/B.E.,CS,74.0,0,Madhya Pradesh,2013,505,545,565,0.3565364877,475.0,,346.0,-2.5039,0.0328,0.3817,0.26793,0.5024
270000.0,250k - 500k,26,male,quality assurance,2,bangalore,81.92,state,2007,61.46,state,2,B.Tech/B.E.,CS,57.54,1,Karnataka,2011,565,465,415,0.8431237267,515.0,,,1.2828,1.7488,1.8331,-2.2879,1.1343
60000.0,< 250k,27,female,software engineer,2,bangalore,66.5,cbse,2005,49.5,state,2,MCA,CS,89.7,0,Orissa,2011,505,505,485,0.9168699611,555.0,,,-1.0355,0.0328,-2.2308,1.0024,0.3444
120000.0,< 250k,24,male,software engineer,0,hyderabad,80.0,state,2009,72.5,state,2,B.Tech/B.E.,CS,57.8,0,Andhra Pradesh,2013,580,485,455,0.7833035367,405.0,388.0,,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
400000.0,250k - 500k,23,male,software engineer,0,mumbai,85.2,icse,2010,81.5,icse,2,B.Tech/B.E.,CS,57.64,0,Uttar Pradesh,2014,545,385,485,0.6000571823,435.0,,,1.1336,0.3789,1.0859,0.653,0.2889
350000.0,250k - 500k,24,male,systems engineer,1,mumbai,89.25,state,2010,78.0,state,2,B.Tech/B.E.,EL,80.0,1,West Bengal,2014,570,510,545,0.7929362776,,,,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
120000.0,< 250k,23,female,software engineer,1,new delhi,58.4,cbse,2008,64.8,cbse,2,MCA,CS,80.0,0,Haryana,2014,440,415,554,0.7935806145,495.0,,,0.335,0.0924,-0.6582,-0.4821,-0.1543
250000.0,< 250k,23,male,software engineer,1,bangalore,90.8,state,2010,90.1,state,2,B.Tech/B.E.,CS,67.7,0,Karnataka,2014,525,530,595,0.4867470084,485.0,,376.0,-0.3027,0.7119,-0.2974,1.1601,-0.4776
240000.0,< 250k,26,female,sales,2,chennai,78.0,cbse,2006,70.1,cbse,2,B.Tech/B.E.,EC,68.2,0,Haryana,2011,415,595,495,0.6944793277,,366.0,,0.8192,-0.0842,-0.598,-0.6428,-0.6035
525000.0,500k - 1M,26,female,quality assurance,3,hyderabad,89.88,state,2007,95.4,state,2,B.Tech/B.E.,EC,80.8,1,Telangana,2011,555,475,635,0.6944793277,,366.0,,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
200000.0,< 250k,25,male,project manager,1,other,63.3,state,2008,61.1,state,2,B.Tech/B.E.,EC,66.9,0,Uttar Pradesh,2013,420,510,665,0.1121394382,,228.0,,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
120000.0,< 250k,38,male,software engineer,4,bangalore,72.0,cbse,1995,49.0,state,2,B.Tech/B.E.,CS,55.0,0,Karnataka,2011,640,460,250,0.5259225843,415.0,300.0,,-0.3014,-0.4353,-0.9245,-0.349,-0.4455
305000.0,250k - 500k,24,female,software engineer,2,chennai,83.0,state,2009,79.0,state,2,B.Tech/B.E.,CS,70.0,1,Telangana,2013,430,410,310,0.1656330915,305.0,,,-0.159,-0.1206,0.1637,1.5404,-0.0943
300000.0,250k - 500k,22,male,software engineer,1,chennai,85.3,state,2010,88.3,state,2,B.Tech/B.E.,CS,85.0,1,Tamil Nadu,2014,370,375,325,0.3565364877,315.0,,346.0,1.8517,1.5444,0.3174,0.3995,0.6721
145000.0,< 250k,24,female,software engineer,1,noida,81.0,cbse,2009,77.8,cbse,2,B.Tech/B.E.,EC,65.35,0,Uttar Pradesh,2014,535,510,390,0.2073921697,,260.0,,-1.1644,-0.9531,0.01,-0.7415,-0.8608
150000.0,< 250k,23,male,data scientist,1,other,60.66,state,2008,62.4,state,2,B.Tech/B.E.,ME,69.3,0,Uttar Pradesh,2013,370,410,470,0.7553751209,315.0,,,-2.2351,-2.6847,-2.6028,0.3995,-5.477
600000.0,500k - 1M,29,male,software engineer,2,gurgaon,78.0,cbse,2004,83.0,cbse,1,B.Tech/B.E.,CS,72.13,1,Delhi,2010,444,555,695,0.9999045583,804.0,,,0.6646,0.3448,0.8171,0.6498,0.0284
310000.0,250k - 500k,25,male,systems engineer,0,other,89.37,state,2009,79.0,state,2,B.Tech/B.E.,EC,70.0,0,West Bengal,2013,630,580,510,0.3387863472,,292.0,,0.99,1.2114,-0.2974,-1.1218,1.247
455000.0,250k - 500k,26,male,systems engineer,2,bangalore,90.0,state,2006,94.4,state,2,B.Tech/B.E.,EC,76.12,0,Andhra Pradesh,2010,505,525,595,0.124502074,615.0,233.0,,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
400000.0,250k - 500k,24,female,quality assurance,1,bangalore,81.0,icse,2010,79.0,icse,2,B.Tech/B.E.,EC,71.5,0,Uttar Pradesh,2014,510,500,575,0.4935963873,455.0,324.0,,-1.8825,-3.7836,-2.4491,0.9066,-1.8189
150000.0,< 250k,26,female,software engineer,2,chennai,78.0,state,2006,86.67,state,2,B.Tech/B.E.,EC,77.55,1,Tamil Nadu,2010,535,465,535,0.9107701642,445.0,433.0,,-0.881,1.4368,0.3817,-0.4078,-0.1295
250000.0,< 250k,22,male,software engineer,0,bangalore,84.4,cbse,2011,73.2,cbse,2,B.Tech/B.E.,CS,70.0,0,Punjab,2015,570,410,535,0.6707431514,455.0,,,-0.0154,0.8784,0.01,-0.7415,-0.2859
320000.0,250k - 500k,23,male,systems engineer,1,chennai,89.0,state,2009,92.0,state,2,B.Tech/B.E.,EL,76.4,1,Telangana,2013,625,645,605,0.9820571243,385.0,388.0,,-1.4517,-1.4526,-1.2196,1.794,-2.3937
250000.0,< 250k,25,male,software engineer,1,gurgaon,86.0,state,2008,64.0,state,2,B.Tech/B.E.,CS,61.17,0,Gujarat,2013,665,545,415,0.9113952784,405.0,,500.0,1.1336,1.3779,2.1617,-0.995,1.0554
200000.0,< 250k,23,male,support,1,bangalore,85.0,icse,2010,75.0,cbse,2,B.Tech/B.E.,CS,60.0,1,Karnataka,2014,675,480,500,0.8422483223,425.0,,469.0,1.1336,1.0449,0.1637,-1.2486,0.0973
240000.0,< 250k,23,male,software engineer,1,noida,75.0,cbse,2009,64.0,cbse,2,B.Tech/B.E.,CS,67.0,0,Uttar Pradesh,2014,510,480,485,0.6493897148,,,,-0.159,0.8784,1.2396,0.2727,-0.6692
120000.0,< 250k,24,female,data scientist,0,other,86.0,state,2009,77.0,state,2,B.Tech/B.E.,CS,75.0,0,Madhya Pradesh,2013,325,510,295,0.01854094168,415.0,,192.0,0.1282,0.0459,0.1637,0.0192,-0.0943
300000.0,250k - 500k,23,male,software engineer,1,bangalore,70.6,cbse,2010,78.67,state,2,B.Tech/B.E.,EC,75.84,1,Karnataka,2014,580,485,510,0.05316030528,285.0,196.0,,0.5591,0.2124,-1.2196,-0.7415,-0.8608
800000.0,500k - 1M,24,male,software engineer,3,bangalore,93.44,state,2008,90.0,state,2,B.Tech/B.E.,CS,87.6,0,Karnataka,2012,515,475,635,0.9421165515,575.0,,,-0.4173,0.9688,-0.1988,-0.2902,0.3049
120000.0,< 250k,23,male,quality assurance,1,bangalore,76.0,state,2009,72.0,state,2,B.Tech/B.E.,CS,63.2,0,Tamil Nadu,2013,510,355,340,0.1230167316,285.0,,,-0.159,-0.2871,0.4711,0.2727,-0.4776
325000.0,250k - 500k,22,female,systems engineer,1,other,86.4,cbse,2010,78.2,cbse,2,B.Tech/B.E.,EC,73.5,1,Karnataka,2014,535,435,440,0.2073921697,355.0,260.0,530.0,0.8463,1.3779,1.3933,0.653,-0.2859
100000.0,< 250k,23,female,software engineer,1,bangalore,86.0,state,2009,95.0,state,2,B.Tech/B.E.,EC,78.6,0,Telangana,2013,405,545,450,0.6493897148,375.0,356.0,,0.5591,-0.4536,0.01,-0.4879,0.6721
300000.0,250k - 500k,23,male,software engineer,1,bangalore,84.83,cbse,2010,82.4,cbse,2,B.Tech/B.E.,CS,74.14,0,Uttar Pradesh,2014,665,595,705,0.744758354,505.0,,438.0,-0.4463,0.2124,0.3174,-1.5021,-0.2859
280000.0,250k - 500k,25,male,quality assurance,1,new delhi,72.3,icse,2008,60.2,cbse,2,B.Tech/B.E.,EC,69.38,1,Rajasthan,2013,555,475,415,0.6944793277,,366.0,,1.4208,0.5454,-0.2974,1.0333,-0.6692
215000.0,< 250k,28,female,data scientist,1,new delhi,69.0,cbse,2005,62.6,cbse,2,B.Tech/B.E.,EL,76.25,0,Madhya Pradesh,2010,395,455,475,0.6944793277,195.0,366.0,,-0.4173,0.1888,-0.4891,0.4148,0.8183
145000.0,< 250k,22,male,sales,0,jaipur,80.0,state,2010,70.0,state,2,B.Tech/B.E.,EC,55.0,1,Rajasthan,2014,430,450,385,0.6493897148,,,,0.1282,-0.1206,0.9322,1.5404,0.0973
445000.0,250k - 500k,28,female,software engineer,4,pune,73.33,state,2004,71.33,state,2,MCA,CS,61.0,1,Maharashtra,2010,375,535,534,0.6000571823,435.0,,,-2.272,-0.2793,-1.2148,0.8848,-0.7615
315000.0,250k - 500k,22,male,software engineer,0,noida,86.16,cbse,2011,70.08,cbse,2,B.Tech/B.E.,EC,63.13,0,Uttar Pradesh,2015,455,595,500,0.2073921697,225.0,260.0,,0.99,1.0449,1.7007,-2.0092,0.2889
100000.0,< 250k,28,female,software engineer,2,kolkata,75.0,state,2010,78.0,state,2,B.Tech/B.E.,CS,71.1,1,West Bengal,2013,415,440,355,0.4883479768,405.0,,,0.8463,1.3779,1.0859,-0.995,1.247
200000.0,< 250k,23,male,software engineer,0,noida,56.0,cbse,2009,56.0,state,2,MCA,CS,62.0,0,Uttar Pradesh,2015,605,470,355,0.8431237267,515.0,,,0.7027,0.8784,0.3174,-1.1218,0.4805
220000.0,< 250k,23,female,other,1,hyderabad,87.0,cbse,2008,60.0,cbse,2,B.Tech/B.E.,CS,70.82,0,Uttar Pradesh,2013,640,605,400,0.8422483223,425.0,,469.0,0.8463,1.2114,1.2396,-0.1076,1.247
370000.0,250k - 500k,24,male,project manager,2,kolkata,79.25,state,2008,80.0,state,2,B.Tech/B.E.,CS,79.9,0,West Bengal,2012,545,580,430,0.6359787565,445.0,,,0.8192,1.0858,-0.4891,-0.7603,-0.1295
145000.0,< 250k,24,male,data scientist,2,pune,88.66,state,2008,84.33,state,2,B.Tech/B.E.,EC,60.0,1,Maharashtra,2012,495,565,575,0.3760595867,335.0,300.0,,1.2828,1.7878,1.1437,-0.6428,0.5024
275000.0,250k - 500k,24,male,quality assurance,1,bangalore,80.8,state,2009,75.0,state,2,B.Tech/B.E.,EC,77.38,1,Karnataka,2013,405,470,370,0.6493897148,475.0,,500.0,1.4208,-0.7866,-0.1437,-1.5021,-0.4776
325000.0,250k - 500k,23,male,software engineer,1,gurgaon,70.0,icse,2010,65.0,cbse,2,B.Tech/B.E.,CS,66.0,0,Chhattisgarh,2014,405,470,545,0.6493897148,,,,0.4155,0.3789,-0.9122,-1.1218,-0.8608
275000.0,250k - 500k,25,male,software engineer,0,bangalore,81.16,icse,2008,68.5,icse,2,B.Tech/B.E.,EC,61.5,0,Orissa,2013,605,520,325,0.3387863472,455.0,292.0,,1.4208,1.2114,0.6248,-0.995,-0.2859
425000.0,250k - 500k,25,female,systems engineer,3,hyderabad,83.5,state,2008,94.2,state,2,B.Tech/B.E.,CS,88.2,0,Andhra Pradesh,2012,515,475,445,0.6707431514,455.0,,,0.6646,1.4368,-0.0537,0.88483,0.5024
450000.0,250k - 500k,27,male,software engineer,3,bangalore,65.0,icse,2006,66.0,icse,2,B.Tech/B.E.,CS,64.0,0,Uttar Pradesh,2010,515,565,554,0.6000571823,435.0,,,-0.7264,0.1888,-1.2148,-0.5253,1.1343
300000.0,250k - 500k,23,female,software engineer,1,bangalore,88.0,state,2010,88.0,state,2,B.Tech/B.E.,CS,70.12,0,Andhra Pradesh,2014,710,605,605,0.744758354,405.0,,438.0,0.5591,1.2114,1.8543,0.1459,0.0973
470000.0,250k - 500k,27,male,systems engineer,4,jaipur,79.0,cbse,2006,76.6,cbse,2,B.Tech/B.E.,CS,77.85,1,Rajasthan,2010,635,495,495,0.6707431514,455.0,,,0.8192,-0.5913,0.2366,-0.7603,-0.1295
120000.0,< 250k,27,male,support,1,bangalore,55.6,state,2005,50.8,state,2,MCA,CS,80.03,1,West Bengal,2014,440,425,370,0.2378028398,415.0,,315.0,-0.0154,0.8784,1.2396,1.2869,0.8637
300000.0,250k - 500k,23,male,data scientist,0,bangalore,75.0,state,2008,72.0,state,2,B.Tech/B.E.,CS,80.0,0,Uttar Pradesh,2013,475,470,415,0.9113952784,595.0,,500.0,0.8463,1.0449,1.3933,-1.6289,-0.2859
205000.0,< 250k,26,male,engineer(other),4,chennai,84.6,state,2006,66.5,state,2,B.Tech/B.E.,EC,66.7,1,Tamil Nadu,2010,345,255,395,0.05879280001,195.0,200.0,,-0.1082,0.0328,-0.1988,0.2973,-0.7615
310000.0,250k - 500k,26,male,software engineer,2,pune,79.0,state,2008,76.4,state,2,B.Tech/B.E.,EC,65.0,0,Maharashtra,2012,605,510,515,0.6493897148,345.0,,346.0,1.7081,0.8784,1.547,-1.6289,-0.0943
300000.0,250k - 500k,24,female,quality assurance,1,bangalore,62.0,cbse,2012,61.0,cbse,2,B.Tech/B.E.,CS,70.0,0,Haryana,2013,250,305,385,0.1048713599,275.0,,,-0.5116,0.8229,0.8809,0.0192,1.6302
460000.0,250k - 500k,25,male,support,2,bangalore,62.0,state,2007,61.0,state,2,M.Tech./M.E.,CS,63.0,0,Punjab,2013,465,595,605,0.7935806145,495.0,,,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021
320000.0,250k - 500k,22,male,systems engineer,0,bangalore,86.0,state,2010,92.0,state,2,B.Tech/B.E.,EC,72.0,0,Andhra Pradesh,2014,350,590,570,0.4935963873,415.0,324.0,,0.8463,0.0459,-0.2974,-0.7415,-0.4776
340000.0,250k - 500k,22,female,software engineer,1,mumbai,85.8,cbse,2010,65.8,cbse,2,B.Tech/B.E.,CS,69.7,0,Uttar Pradesh,2014,615,630,750,0.6226429158,485.0,,407.0,0.8463,1.0449,0.01,-0.2344,0.4805
120000.0,< 250k,23,male,software engineer,1,noida,68.4,state,2008,61.0,state,2,B.Tech/B.E.,CS,62.2,1,Rajasthan,2013,440,375,330,0.2378028398,455.0,,315.0,-1.7389,-1.2861,-0.4511,0.7798,-1.8189
100000.0,< 250k,30,male,software engineer,1,noida,51.0,state,2004,48.0,state,2,MCA,CS,59.0,0,Uttar Pradesh,2010,275,365,395,0.5259225843,415.0,,,0.2009,-0.2793,0.2366,1.4724,0.0284
510000.0,500k - 1M,24,male,software engineer,1,noida,79.6,cbse,2009,73.2,cbse,2,B.Tech/B.E.,EC,66.96,1,Rajasthan,2014,535,640,630,0.3387863472,,292.0,,-1.1644,0.2124,0.3174,0.9066,-0.4776
300000.0,250k - 500k,26,male,software engineer,3,other,63.4,state,2008,63.0,state,2,B.Tech/B.E.,EC,69.3,0,Madhya Pradesh,2012,360,350,320,0.6006439594,,,,-0.4463,-1.1196,-1.6807,-0.4879,-1.244
480000.0,250k - 500k,26,male,systems engineer,4,other,86.53,state,2007,71.55,state,2,B.Tech/B.E.,CS,78.5,0,Orissa,2011,515,505,454,0.7040904121,465.0,,,-0.1082,0.9688,0.8171,-0.8778,0.3444
170000.0,< 250k,26,female,project manager,1,bangalore,76.18,state,2007,86.33,state,2,B.Tech/B.E.,CS,73.46,0,Tamil Nadu,2011,485,545,385,0.6359787565,445.0,,,0.3555,1.2808,0.2366,1.3549,1.2923
